age,Source,Sex,year,n,proportion,label
23,Longline fishery,Male,2011,2,0.01042,llfsh
24,Longline fishery,Male,2011,1,0.00521,llfsh
25,Longline fishery,Male,2011,11,0.05729,llfsh
2,Longline fishery,Female,2012,1,0.00313,llfsh
3,Longline fishery,Female,2012,18,0.05625,llfsh
4,Longline fishery,Female,2012,74,0.23125,llfsh
5,Longline fishery,Female,2012,78,0.24375,llfsh
6,Longline fishery,Female,2012,38,0.11875,llfsh
7,Longline fishery,Female,2012,16,0.05,llfsh
8,Longline fishery,Female,2012,22,0.06875,llfsh
9,Longline fishery,Female,2012,12,0.0375,llfsh
10,Longline fishery,Female,2012,7,0.02187,llfsh
11,Longline fishery,Female,2012,8,0.025,llfsh
12,Longline fishery,Female,2012,10,0.03125,llfsh
13,Longline fishery,Female,2012,10,0.03125,llfsh
14,Longline fishery,Female,2012,4,0.0125,llfsh
15,Longline fishery,Female,2012,9,0.02813,llfsh
16,Longline fishery,Female,2012,3,0.00938,llfsh
17,Longline fishery,Female,2012,3,0.00938,llfsh
18,Longline fishery,Female,2012,1,0.00313,llfsh
19,Longline fishery,Female,2012,1,0.00313,llfsh
20,Longline fishery,Female,2012,2,0.00625,llfsh
21,Longline fishery,Female,2012,0,0,llfsh
22,Longline fishery,Female,2012,0,0,llfsh
23,Longline fishery,Female,2012,0,0,llfsh
24,Longline fishery,Female,2012,0,0,llfsh
25,Longline fishery,Female,2012,3,0.00938,llfsh
2,Longline fishery,Male,2012,0,0,llfsh
3,Longline fishery,Male,2012,10,0.04975,llfsh
4,Longline fishery,Male,2012,32,0.1592,llfsh
5,Longline fishery,Male,2012,24,0.1194,llfsh
6,Longline fishery,Male,2012,16,0.0796,llfsh
7,Longline fishery,Male,2012,9,0.04478,llfsh
8,Longline fishery,Male,2012,7,0.03483,llfsh
9,Longline fishery,Male,2012,11,0.05473,llfsh
10,Longline fishery,Male,2012,7,0.03483,llfsh
11,Longline fishery,Male,2012,8,0.0398,llfsh
12,Longline fishery,Male,2012,8,0.0398,llfsh
13,Longline fishery,Male,2012,10,0.04975,llfsh
14,Longline fishery,Male,2012,16,0.0796,llfsh
15,Longline fishery,Male,2012,9,0.04478,llfsh
16,Longline fishery,Male,2012,3,0.01493,llfsh
17,Longline fishery,Male,2012,8,0.0398,llfsh
18,Longline fishery,Male,2012,4,0.0199,llfsh
19,Longline fishery,Male,2012,3,0.01493,llfsh
20,Longline fishery,Male,2012,1,0.00498,llfsh
21,Longline fishery,Male,2012,0,0,llfsh
22,Longline fishery,Male,2012,1,0.00498,llfsh
23,Longline fishery,Male,2012,1,0.00498,llfsh
24,Longline fishery,Male,2012,3,0.01493,llfsh
25,Longline fishery,Male,2012,10,0.04975,llfsh
2,Longline fishery,Female,2013,0,0,llfsh
3,Longline fishery,Female,2013,0,0,llfsh
4,Longline fishery,Female,2013,7,0.02905,llfsh
5,Longline fishery,Female,2013,38,0.15768,llfsh
6,Longline fishery,Female,2013,49,0.20332,llfsh
7,Longline fishery,Female,2013,48,0.19917,llfsh
8,Longline fishery,Female,2013,29,0.12033,llfsh
9,Longline fishery,Female,2013,12,0.04979,llfsh
10,Longline fishery,Female,2013,14,0.05809,llfsh
11,Longline fishery,Female,2013,9,0.03734,llfsh
12,Longline fishery,Female,2013,9,0.03734,llfsh
13,Longline fishery,Female,2013,5,0.02075,llfsh
14,Longline fishery,Female,2013,2,0.0083,llfsh
15,Longline fishery,Female,2013,8,0.0332,llfsh
16,Longline fishery,Female,2013,3,0.01245,llfsh
17,Longline fishery,Female,2013,1,0.00415,llfsh
18,Longline fishery,Female,2013,1,0.00415,llfsh
19,Longline fishery,Female,2013,0,0,llfsh
20,Longline fishery,Female,2013,0,0,llfsh
21,Longline fishery,Female,2013,0,0,llfsh
22,Longline fishery,Female,2013,0,0,llfsh
23,Longline fishery,Female,2013,0,0,llfsh
24,Longline fishery,Female,2013,1,0.00415,llfsh
25,Longline fishery,Female,2013,5,0.02075,llfsh
2,Longline fishery,Male,2013,0,0,llfsh
3,Longline fishery,Male,2013,0,0,llfsh
4,Longline fishery,Male,2013,10,0.04854,llfsh
5,Longline fishery,Male,2013,24,0.1165,llfsh
6,Longline fishery,Male,2013,41,0.19903,llfsh
7,Longline fishery,Male,2013,28,0.13592,llfsh
8,Longline fishery,Male,2013,17,0.08252,llfsh
9,Longline fishery,Male,2013,12,0.05825,llfsh
10,Longline fishery,Male,2013,10,0.04854,llfsh
11,Longline fishery,Male,2013,7,0.03398,llfsh
12,Longline fishery,Male,2013,10,0.04854,llfsh
13,Longline fishery,Male,2013,9,0.04369,llfsh
14,Longline fishery,Male,2013,5,0.02427,llfsh
15,Longline fishery,Male,2013,6,0.02913,llfsh
16,Longline fishery,Male,2013,7,0.03398,llfsh
17,Longline fishery,Male,2013,2,0.00971,llfsh
18,Longline fishery,Male,2013,3,0.01456,llfsh
19,Longline fishery,Male,2013,4,0.01942,llfsh
20,Longline fishery,Male,2013,0,0,llfsh
21,Longline fishery,Male,2013,1,0.00485,llfsh
22,Longline fishery,Male,2013,1,0.00485,llfsh
23,Longline fishery,Male,2013,0,0,llfsh
24,Longline fishery,Male,2013,1,0.00485,llfsh
25,Longline fishery,Male,2013,8,0.03883,llfsh
2,Longline fishery,Female,2014,0,0,llfsh
3,Longline fishery,Female,2014,0,0,llfsh
4,Longline fishery,Female,2014,13,0.04348,llfsh
5,Longline fishery,Female,2014,39,0.13043,llfsh
6,Longline fishery,Female,2014,58,0.19398,llfsh
7,Longline fishery,Female,2014,54,0.1806,llfsh
8,Longline fishery,Female,2014,39,0.13043,llfsh
9,Longline fishery,Female,2014,25,0.08361,llfsh
10,Longline fishery,Female,2014,13,0.04348,llfsh
11,Longline fishery,Female,2014,11,0.03679,llfsh
12,Longline fishery,Female,2014,6,0.02007,llfsh
13,Longline fishery,Female,2014,5,0.01672,llfsh
14,Longline fishery,Female,2014,5,0.01672,llfsh
15,Longline fishery,Female,2014,1,0.00334,llfsh
16,Longline fishery,Female,2014,8,0.02676,llfsh
17,Longline fishery,Female,2014,5,0.01672,llfsh
18,Longline fishery,Female,2014,9,0.0301,llfsh
19,Longline fishery,Female,2014,1,0.00334,llfsh
20,Longline fishery,Female,2014,3,0.01003,llfsh
21,Longline fishery,Female,2014,1,0.00334,llfsh
22,Longline fishery,Female,2014,1,0.00334,llfsh
23,Longline fishery,Female,2014,0,0,llfsh
24,Longline fishery,Female,2014,0,0,llfsh
25,Longline fishery,Female,2014,2,0.00669,llfsh
2,Longline fishery,Male,2014,0,0,llfsh
3,Longline fishery,Male,2014,0,0,llfsh
4,Longline fishery,Male,2014,5,0.02016,llfsh
5,Longline fishery,Male,2014,30,0.12097,llfsh
6,Longline fishery,Male,2014,42,0.16935,llfsh
7,Longline fishery,Male,2014,38,0.15323,llfsh
8,Longline fishery,Male,2014,26,0.10484,llfsh
9,Longline fishery,Male,2014,16,0.06452,llfsh
10,Longline fishery,Male,2014,12,0.04839,llfsh
11,Longline fishery,Male,2014,14,0.05645,llfsh
12,Longline fishery,Male,2014,4,0.01613,llfsh
13,Longline fishery,Male,2014,6,0.02419,llfsh
14,Longline fishery,Male,2014,14,0.05645,llfsh
15,Longline fishery,Male,2014,5,0.02016,llfsh
16,Longline fishery,Male,2014,8,0.03226,llfsh
17,Longline fishery,Male,2014,7,0.02823,llfsh
18,Longline fishery,Male,2014,2,0.00806,llfsh
19,Longline fishery,Male,2014,5,0.02016,llfsh
20,Longline fishery,Male,2014,3,0.0121,llfsh
21,Longline fishery,Male,2014,0,0,llfsh
22,Longline fishery,Male,2014,3,0.0121,llfsh
23,Longline fishery,Male,2014,2,0.00806,llfsh
24,Longline fishery,Male,2014,2,0.00806,llfsh
25,Longline fishery,Male,2014,4,0.01613,llfsh
2,Longline fishery,Female,2015,0,0,llfsh
3,Longline fishery,Female,2015,4,0.25,llfsh
4,Longline fishery,Female,2015,2,0.125,llfsh
5,Longline fishery,Female,2015,2,0.125,llfsh
6,Longline fishery,Female,2015,5,0.3125,llfsh
7,Longline fishery,Female,2015,3,0.1875,llfsh
8,Longline fishery,Female,2015,0,0,llfsh
9,Longline fishery,Female,2015,0,0,llfsh
10,Longline fishery,Female,2015,0,0,llfsh
11,Longline fishery,Female,2015,0,0,llfsh
12,Longline fishery,Female,2015,0,0,llfsh
13,Longline fishery,Female,2015,0,0,llfsh
14,Longline fishery,Female,2015,0,0,llfsh
15,Longline fishery,Female,2015,0,0,llfsh
16,Longline fishery,Female,2015,0,0,llfsh
17,Longline fishery,Female,2015,0,0,llfsh
18,Longline fishery,Female,2015,0,0,llfsh
19,Longline fishery,Female,2015,0,0,llfsh
20,Longline fishery,Female,2015,0,0,llfsh
21,Longline fishery,Female,2015,0,0,llfsh
22,Longline fishery,Female,2015,0,0,llfsh
23,Longline fishery,Female,2015,0,0,llfsh
24,Longline fishery,Female,2015,0,0,llfsh
25,Longline fishery,Female,2015,0,0,llfsh
2,Longline fishery,Male,2015,0,0,llfsh
3,Longline fishery,Male,2015,1,0.125,llfsh
4,Longline fishery,Male,2015,2,0.25,llfsh
5,Longline fishery,Male,2015,1,0.125,llfsh
6,Longline fishery,Male,2015,2,0.25,llfsh
7,Longline fishery,Male,2015,2,0.25,llfsh
8,Longline fishery,Male,2015,0,0,llfsh
9,Longline fishery,Male,2015,0,0,llfsh
10,Longline fishery,Male,2015,0,0,llfsh
11,Longline fishery,Male,2015,0,0,llfsh
12,Longline fishery,Male,2015,0,0,llfsh
13,Longline fishery,Male,2015,0,0,llfsh
14,Longline fishery,Male,2015,0,0,llfsh
15,Longline fishery,Male,2015,0,0,llfsh
16,Longline fishery,Male,2015,0,0,llfsh
17,Longline fishery,Male,2015,0,0,llfsh
18,Longline fishery,Male,2015,0,0,llfsh
19,Longline fishery,Male,2015,0,0,llfsh
20,Longline fishery,Male,2015,0,0,llfsh
21,Longline fishery,Male,2015,0,0,llfsh
22,Longline fishery,Male,2015,0,0,llfsh
23,Longline fishery,Male,2015,0,0,llfsh
24,Longline fishery,Male,2015,0,0,llfsh
25,Longline fishery,Male,2015,0,0,llfsh
2,Longline fishery,Female,2016,3,0.01027,llfsh
3,Longline fishery,Female,2016,22,0.07534,llfsh
4,Longline fishery,Female,2016,56,0.19178,llfsh
5,Longline fishery,Female,2016,51,0.17466,llfsh
6,Longline fishery,Female,2016,51,0.17466,llfsh
7,Longline fishery,Female,2016,34,0.11644,llfsh
8,Longline fishery,Female,2016,25,0.08562,llfsh
9,Longline fishery,Female,2016,15,0.05137,llfsh
10,Longline fishery,Female,2016,6,0.02055,llfsh
11,Longline fishery,Female,2016,5,0.01712,llfsh
12,Longline fishery,Female,2016,4,0.0137,llfsh
13,Longline fishery,Female,2016,4,0.0137,llfsh
14,Longline fishery,Female,2016,2,0.00685,llfsh
15,Longline fishery,Female,2016,3,0.01027,llfsh
16,Longline fishery,Female,2016,3,0.01027,llfsh
17,Longline fishery,Female,2016,1,0.00342,llfsh
18,Longline fishery,Female,2016,2,0.00685,llfsh
19,Longline fishery,Female,2016,1,0.00342,llfsh
20,Longline fishery,Female,2016,2,0.00685,llfsh
21,Longline fishery,Female,2016,0,0,llfsh
22,Longline fishery,Female,2016,0,0,llfsh
23,Longline fishery,Female,2016,1,0.00342,llfsh
24,Longline fishery,Female,2016,1,0.00342,llfsh
25,Longline fishery,Female,2016,0,0,llfsh
2,Longline fishery,Male,2016,2,0.00962,llfsh
3,Longline fishery,Male,2016,20,0.09615,llfsh
4,Longline fishery,Male,2016,18,0.08654,llfsh
5,Longline fishery,Male,2016,33,0.15865,llfsh
6,Longline fishery,Male,2016,29,0.13942,llfsh
7,Longline fishery,Male,2016,15,0.07212,llfsh
8,Longline fishery,Male,2016,12,0.05769,llfsh
9,Longline fishery,Male,2016,19,0.09135,llfsh
10,Longline fishery,Male,2016,5,0.02404,llfsh
11,Longline fishery,Male,2016,7,0.03365,llfsh
12,Longline fishery,Male,2016,6,0.02885,llfsh
13,Longline fishery,Male,2016,4,0.01923,llfsh
14,Longline fishery,Male,2016,3,0.01442,llfsh
15,Longline fishery,Male,2016,4,0.01923,llfsh
16,Longline fishery,Male,2016,6,0.02885,llfsh
17,Longline fishery,Male,2016,2,0.00962,llfsh
18,Longline fishery,Male,2016,4,0.01923,llfsh
19,Longline fishery,Male,2016,3,0.01442,llfsh
20,Longline fishery,Male,2016,2,0.00962,llfsh
21,Longline fishery,Male,2016,4,0.01923,llfsh
22,Longline fishery,Male,2016,3,0.01442,llfsh
23,Longline fishery,Male,2016,2,0.00962,llfsh
24,Longline fishery,Male,2016,0,0,llfsh
25,Longline fishery,Male,2016,5,0.02404,llfsh
2,Longline fishery,Female,2017,1,0.00267,llfsh
3,Longline fishery,Female,2017,11,0.02933,llfsh
4,Longline fishery,Female,2017,36,0.096,llfsh
5,Longline fishery,Female,2017,73,0.19467,llfsh
6,Longline fishery,Female,2017,71,0.18933,llfsh
7,Longline fishery,Female,2017,67,0.17867,llfsh
8,Longline fishery,Female,2017,40,0.10667,llfsh
9,Longline fishery,Female,2017,12,0.032,llfsh
10,Longline fishery,Female,2017,11,0.02933,llfsh
11,Longline fishery,Female,2017,9,0.024,llfsh
12,Longline fishery,Female,2017,10,0.02667,llfsh
13,Longline fishery,Female,2017,9,0.024,llfsh
14,Longline fishery,Female,2017,3,0.008,llfsh
15,Longline fishery,Female,2017,3,0.008,llfsh
16,Longline fishery,Female,2017,4,0.01067,llfsh
17,Longline fishery,Female,2017,4,0.01067,llfsh
18,Longline fishery,Female,2017,2,0.00533,llfsh
19,Longline fishery,Female,2017,2,0.00533,llfsh
20,Longline fishery,Female,2017,0,0,llfsh
21,Longline fishery,Female,2017,1,0.00267,llfsh
22,Longline fishery,Female,2017,1,0.00267,llfsh
23,Longline fishery,Female,2017,1,0.00267,llfsh
24,Longline fishery,Female,2017,1,0.00267,llfsh
25,Longline fishery,Female,2017,3,0.008,llfsh
2,Longline fishery,Male,2017,1,0.00585,llfsh
3,Longline fishery,Male,2017,1,0.00585,llfsh
4,Longline fishery,Male,2017,14,0.08187,llfsh
5,Longline fishery,Male,2017,31,0.18129,llfsh
6,Longline fishery,Male,2017,30,0.17544,llfsh
7,Longline fishery,Male,2017,20,0.11696,llfsh
8,Longline fishery,Male,2017,13,0.07602,llfsh
9,Longline fishery,Male,2017,13,0.07602,llfsh
10,Longline fishery,Male,2017,13,0.07602,llfsh
11,Longline fishery,Male,2017,13,0.07602,llfsh
12,Longline fishery,Male,2017,6,0.03509,llfsh
13,Longline fishery,Male,2017,2,0.0117,llfsh
14,Longline fishery,Male,2017,5,0.02924,llfsh
15,Longline fishery,Male,2017,2,0.0117,llfsh
16,Longline fishery,Male,2017,1,0.00585,llfsh
17,Longline fishery,Male,2017,0,0,llfsh
18,Longline fishery,Male,2017,1,0.00585,llfsh
19,Longline fishery,Male,2017,0,0,llfsh
20,Longline fishery,Male,2017,1,0.00585,llfsh
21,Longline fishery,Male,2017,0,0,llfsh
22,Longline fishery,Male,2017,0,0,llfsh
23,Longline fishery,Male,2017,1,0.00585,llfsh
24,Longline fishery,Male,2017,1,0.00585,llfsh
25,Longline fishery,Male,2017,2,0.0117,llfsh
2,Longline fishery,Female,2018,0,0,llfsh
3,Longline fishery,Female,2018,10,0.02646,llfsh
4,Longline fishery,Female,2018,39,0.10317,llfsh
5,Longline fishery,Female,2018,61,0.16138,llfsh
6,Longline fishery,Female,2018,93,0.24603,llfsh
7,Longline fishery,Female,2018,63,0.16667,llfsh
8,Longline fishery,Female,2018,32,0.08466,llfsh
9,Longline fishery,Female,2018,22,0.0582,llfsh
10,Longline fishery,Female,2018,12,0.03175,llfsh
11,Longline fishery,Female,2018,10,0.02646,llfsh
12,Longline fishery,Female,2018,8,0.02116,llfsh
13,Longline fishery,Female,2018,6,0.01587,llfsh
14,Longline fishery,Female,2018,4,0.01058,llfsh
15,Longline fishery,Female,2018,2,0.00529,llfsh
16,Longline fishery,Female,2018,1,0.00265,llfsh
17,Longline fishery,Female,2018,2,0.00529,llfsh
18,Longline fishery,Female,2018,1,0.00265,llfsh
19,Longline fishery,Female,2018,0,0,llfsh
20,Longline fishery,Female,2018,1,0.00265,llfsh
21,Longline fishery,Female,2018,3,0.00794,llfsh
22,Longline fishery,Female,2018,1,0.00265,llfsh
23,Longline fishery,Female,2018,3,0.00794,llfsh
24,Longline fishery,Female,2018,0,0,llfsh
25,Longline fishery,Female,2018,4,0.01058,llfsh
2,Longline fishery,Male,2018,0,0,llfsh
3,Longline fishery,Male,2018,1,0.00465,llfsh
4,Longline fishery,Male,2018,11,0.05116,llfsh
5,Longline fishery,Male,2018,28,0.13023,llfsh
6,Longline fishery,Male,2018,30,0.13953,llfsh
7,Longline fishery,Male,2018,27,0.12558,llfsh
8,Longline fishery,Male,2018,13,0.06047,llfsh
9,Longline fishery,Male,2018,15,0.06977,llfsh
10,Longline fishery,Male,2018,14,0.06512,llfsh
11,Longline fishery,Male,2018,9,0.04186,llfsh
12,Longline fishery,Male,2018,7,0.03256,llfsh
13,Longline fishery,Male,2018,6,0.02791,llfsh
14,Longline fishery,Male,2018,6,0.02791,llfsh
15,Longline fishery,Male,2018,5,0.02326,llfsh
16,Longline fishery,Male,2018,3,0.01395,llfsh
17,Longline fishery,Male,2018,3,0.01395,llfsh
18,Longline fishery,Male,2018,5,0.02326,llfsh
19,Longline fishery,Male,2018,1,0.00465,llfsh
20,Longline fishery,Male,2018,3,0.01395,llfsh
21,Longline fishery,Male,2018,3,0.01395,llfsh
22,Longline fishery,Male,2018,1,0.00465,llfsh
23,Longline fishery,Male,2018,4,0.0186,llfsh
24,Longline fishery,Male,2018,5,0.02326,llfsh
25,Longline fishery,Male,2018,15,0.06977,llfsh
2,Longline fishery,Female,2019,1,0.00216,llfsh
3,Longline fishery,Female,2019,12,0.02592,llfsh
4,Longline fishery,Female,2019,47,0.10151,llfsh
5,Longline fishery,Female,2019,106,0.22894,llfsh
6,Longline fishery,Female,2019,112,0.2419,llfsh
7,Longline fishery,Female,2019,60,0.12959,llfsh
8,Longline fishery,Female,2019,44,0.09503,llfsh
9,Longline fishery,Female,2019,26,0.05616,llfsh
10,Longline fishery,Female,2019,16,0.03456,llfsh
11,Longline fishery,Female,2019,9,0.01944,llfsh
12,Longline fishery,Female,2019,7,0.01512,llfsh
13,Longline fishery,Female,2019,3,0.00648,llfsh
14,Longline fishery,Female,2019,2,0.00432,llfsh
15,Longline fishery,Female,2019,2,0.00432,llfsh
16,Longline fishery,Female,2019,1,0.00216,llfsh
17,Longline fishery,Female,2019,1,0.00216,llfsh
18,Longline fishery,Female,2019,0,0,llfsh
19,Longline fishery,Female,2019,4,0.00864,llfsh
20,Longline fishery,Female,2019,0,0,llfsh
21,Longline fishery,Female,2019,2,0.00432,llfsh
22,Longline fishery,Female,2019,2,0.00432,llfsh
23,Longline fishery,Female,2019,0,0,llfsh
24,Longline fishery,Female,2019,3,0.00648,llfsh
25,Longline fishery,Female,2019,3,0.00648,llfsh
2,Longline fishery,Male,2019,0,0,llfsh
3,Longline fishery,Male,2019,2,0.01058,llfsh
4,Longline fishery,Male,2019,17,0.08995,llfsh
5,Longline fishery,Male,2019,27,0.14286,llfsh
6,Longline fishery,Male,2019,33,0.1746,llfsh
7,Longline fishery,Male,2019,23,0.12169,llfsh
8,Longline fishery,Male,2019,23,0.12169,llfsh
9,Longline fishery,Male,2019,11,0.0582,llfsh
10,Longline fishery,Male,2019,6,0.03175,llfsh
11,Longline fishery,Male,2019,9,0.04762,llfsh
12,Longline fishery,Male,2019,6,0.03175,llfsh
13,Longline fishery,Male,2019,2,0.01058,llfsh
14,Longline fishery,Male,2019,1,0.00529,llfsh
15,Longline fishery,Male,2019,1,0.00529,llfsh
16,Longline fishery,Male,2019,3,0.01587,llfsh
17,Longline fishery,Male,2019,0,0,llfsh
18,Longline fishery,Male,2019,3,0.01587,llfsh
19,Longline fishery,Male,2019,1,0.00529,llfsh
20,Longline fishery,Male,2019,2,0.01058,llfsh
21,Longline fishery,Male,2019,3,0.01587,llfsh
22,Longline fishery,Male,2019,2,0.01058,llfsh
23,Longline fishery,Male,2019,1,0.00529,llfsh
24,Longline fishery,Male,2019,1,0.00529,llfsh
25,Longline fishery,Male,2019,12,0.06349,llfsh
2,Longline fishery,Female,2020,0,0,llfsh
3,Longline fishery,Female,2020,0,0,llfsh
4,Longline fishery,Female,2020,16,0.05755,llfsh
5,Longline fishery,Female,2020,71,0.2554,llfsh
6,Longline fishery,Female,2020,95,0.34173,llfsh
7,Longline fishery,Female,2020,50,0.17986,llfsh
8,Longline fishery,Female,2020,23,0.08273,llfsh
9,Longline fishery,Female,2020,7,0.02518,llfsh
10,Longline fishery,Female,2020,5,0.01799,llfsh
11,Longline fishery,Female,2020,2,0.00719,llfsh
12,Longline fishery,Female,2020,1,0.0036,llfsh
13,Longline fishery,Female,2020,1,0.0036,llfsh
14,Longline fishery,Female,2020,4,0.01439,llfsh
15,Longline fishery,Female,2020,1,0.0036,llfsh
16,Longline fishery,Female,2020,0,0,llfsh
17,Longline fishery,Female,2020,0,0,llfsh
18,Longline fishery,Female,2020,0,0,llfsh
19,Longline fishery,Female,2020,2,0.00719,llfsh
20,Longline fishery,Female,2020,0,0,llfsh
21,Longline fishery,Female,2020,0,0,llfsh
22,Longline fishery,Female,2020,0,0,llfsh
23,Longline fishery,Female,2020,0,0,llfsh
24,Longline fishery,Female,2020,0,0,llfsh
25,Longline fishery,Female,2020,0,0,llfsh
2,Longline fishery,Male,2020,0,0,llfsh
3,Longline fishery,Male,2020,0,0,llfsh
4,Longline fishery,Male,2020,7,0.051090000000000003,llfsh
5,Longline fishery,Male,2020,40,0.29197,llfsh
6,Longline fishery,Male,2020,25,0.18248,llfsh
7,Longline fishery,Male,2020,20,0.14599,llfsh
8,Longline fishery,Male,2020,21,0.15328,llfsh
9,Longline fishery,Male,2020,9,0.06569,llfsh
10,Longline fishery,Male,2020,5,0.0365,llfsh
11,Longline fishery,Male,2020,5,0.0365,llfsh
12,Longline fishery,Male,2020,2,0.0146,llfsh
13,Longline fishery,Male,2020,0,0,llfsh
14,Longline fishery,Male,2020,0,0,llfsh
15,Longline fishery,Male,2020,0,0,llfsh
16,Longline fishery,Male,2020,0,0,llfsh
17,Longline fishery,Male,2020,0,0,llfsh
18,Longline fishery,Male,2020,0,0,llfsh
19,Longline fishery,Male,2020,0,0,llfsh
20,Longline fishery,Male,2020,2,0.0146,llfsh
21,Longline fishery,Male,2020,0,0,llfsh
22,Longline fishery,Male,2020,0,0,llfsh
23,Longline fishery,Male,2020,1,0.0073,llfsh
24,Longline fishery,Male,2020,0,0,llfsh
25,Longline fishery,Male,2020,0,0,llfsh
2,Longline fishery,Female,2021,0,0,llfsh
3,Longline fishery,Female,2021,0,0,llfsh
4,Longline fishery,Female,2021,5,0.05814,llfsh
5,Longline fishery,Female,2021,10,0.11628,llfsh
6,Longline fishery,Female,2021,17,0.19767,llfsh
7,Longline fishery,Female,2021,22,0.25581,llfsh
8,Longline fishery,Female,2021,11,0.12791,llfsh
9,Longline fishery,Female,2021,4,0.04651,llfsh
10,Longline fishery,Female,2021,4,0.04651,llfsh
11,Longline fishery,Female,2021,2,0.02326,llfsh
12,Longline fishery,Female,2021,2,0.02326,llfsh
13,Longline fishery,Female,2021,1,0.01163,llfsh
14,Longline fishery,Female,2021,0,0,llfsh
15,Longline fishery,Female,2021,0,0,llfsh
16,Longline fishery,Female,2021,2,0.02326,llfsh
17,Longline fishery,Female,2021,0,0,llfsh
18,Longline fishery,Female,2021,1,0.01163,llfsh
19,Longline fishery,Female,2021,0,0,llfsh
20,Longline fishery,Female,2021,1,0.01163,llfsh
21,Longline fishery,Female,2021,0,0,llfsh
22,Longline fishery,Female,2021,1,0.01163,llfsh
23,Longline fishery,Female,2021,0,0,llfsh
24,Longline fishery,Female,2021,0,0,llfsh
25,Longline fishery,Female,2021,3,0.03488,llfsh
2,Longline fishery,Male,2021,0,0,llfsh
3,Longline fishery,Male,2021,0,0,llfsh
4,Longline fishery,Male,2021,4,0.0678,llfsh
5,Longline fishery,Male,2021,17,0.28814,llfsh
6,Longline fishery,Male,2021,13,0.22034,llfsh
7,Longline fishery,Male,2021,9,0.15254,llfsh
8,Longline fishery,Male,2021,4,0.0678,llfsh
9,Longline fishery,Male,2021,4,0.0678,llfsh
10,Longline fishery,Male,2021,1,0.01695,llfsh
11,Longline fishery,Male,2021,3,0.05085,llfsh
12,Longline fishery,Male,2021,1,0.01695,llfsh
13,Longline fishery,Male,2021,2,0.0339,llfsh
14,Longline fishery,Male,2021,1,0.01695,llfsh
15,Longline fishery,Male,2021,0,0,llfsh
16,Longline fishery,Male,2021,0,0,llfsh
17,Longline fishery,Male,2021,0,0,llfsh
18,Longline fishery,Male,2021,0,0,llfsh
19,Longline fishery,Male,2021,0,0,llfsh
20,Longline fishery,Male,2021,0,0,llfsh
21,Longline fishery,Male,2021,0,0,llfsh
22,Longline fishery,Male,2021,0,0,llfsh
23,Longline fishery,Male,2021,0,0,llfsh
24,Longline fishery,Male,2021,0,0,llfsh
25,Longline fishery,Male,2021,0,0,llfsh
2,Longline survey,Female,1988,0,0,llsrv
3,Longline survey,Female,1988,4,0.02062,llsrv
4,Longline survey,Female,1988,22,0.1134,llsrv
5,Longline survey,Female,1988,25,0.12887,llsrv
6,Longline survey,Female,1988,22,0.1134,llsrv
7,Longline survey,Female,1988,15,0.07732,llsrv
8,Longline survey,Female,1988,13,0.06701,llsrv
9,Longline survey,Female,1988,6,0.03093,llsrv
10,Longline survey,Female,1988,8,0.04124,llsrv
11,Longline survey,Female,1988,18,0.09278,llsrv
12,Longline survey,Female,1988,13,0.06701,llsrv
13,Longline survey,Female,1988,13,0.06701,llsrv
14,Longline survey,Female,1988,8,0.04124,llsrv
15,Longline survey,Female,1988,4,0.02062,llsrv
16,Longline survey,Female,1988,4,0.02062,llsrv
17,Longline survey,Female,1988,3,0.01546,llsrv
18,Longline survey,Female,1988,1,0.00515,llsrv
19,Longline survey,Female,1988,0,0,llsrv
20,Longline survey,Female,1988,1,0.00515,llsrv
21,Longline survey,Female,1988,3,0.01546,llsrv
22,Longline survey,Female,1988,1,0.00515,llsrv
23,Longline survey,Female,1988,2,0.01031,llsrv
24,Longline survey,Female,1988,1,0.00515,llsrv
25,Longline survey,Female,1988,7,0.03608,llsrv
2,Longline survey,Male,1988,2,0.00889,llsrv
3,Longline survey,Male,1988,4,0.01778,llsrv
4,Longline survey,Male,1988,16,0.07111,llsrv
5,Longline survey,Male,1988,31,0.13778,llsrv
6,Longline survey,Male,1988,32,0.14222,llsrv
7,Longline survey,Male,1988,12,0.05333,llsrv
8,Longline survey,Male,1988,14,0.06222,llsrv
9,Longline survey,Male,1988,8,0.03556,llsrv
10,Longline survey,Male,1988,7,0.03111,llsrv
11,Longline survey,Male,1988,23,0.10222,llsrv
12,Longline survey,Male,1988,10,0.04444,llsrv
13,Longline survey,Male,1988,10,0.04444,llsrv
14,Longline survey,Male,1988,8,0.03556,llsrv
15,Longline survey,Male,1988,7,0.03111,llsrv
16,Longline survey,Male,1988,6,0.02667,llsrv
17,Longline survey,Male,1988,2,0.00889,llsrv
18,Longline survey,Male,1988,2,0.00889,llsrv
19,Longline survey,Male,1988,2,0.00889,llsrv
20,Longline survey,Male,1988,1,0.00444,llsrv
21,Longline survey,Male,1988,5,0.02222,llsrv
22,Longline survey,Male,1988,1,0.00444,llsrv
23,Longline survey,Male,1988,1,0.00444,llsrv
24,Longline survey,Male,1988,1,0.00444,llsrv
25,Longline survey,Male,1988,20,0.08889,llsrv
2,Longline survey,Female,1989,1,0.01136,llsrv
3,Longline survey,Female,1989,5,0.05682,llsrv
4,Longline survey,Female,1989,12,0.13636,llsrv
